first_submitted,primary_relation,title,paper_url
2026-09-11,Normative,GRACE: Adaptive Concept Erasure with Geometry-Guided Retention in Diffusion Models,https://arxiv.org/abs/2609.12731
2026-09-09,Internal,StreetDiff: Multi-view Street Scenes Generation via Cross-view Consistent Multi-view Stable Diffusion with Structure Prompts,https://arxiv.org/abs/2609.09890
2026-09-01,Normative,Physically Plausible Video Generation via Visual-Semantic Chain-of-Events Conditioning,https://arxiv.org/abs/2609.00656
2026-08-30,External,Discrete Diffusion Bridges for Spatiotemporally Aligned Image Translation and Generation,https://arxiv.org/abs/2608.29997
2026-08-04,External,JoyAI-Video-Edit: Real-Time Open-Ended Video Editing with Autoregressive Diffusion,https://arxiv.org/abs/2608.03974
2026-07-19,Internal,HarmoHOI: Harmonizing Appearance and 3D Motion for Multi-view Hand-Object Interaction Synthesis,https://arxiv.org/abs/2607.17097
2026-07-07,Normative,D2PO: Optimizing Diffusion Samplers via Dynamic Preference,https://arxiv.org/abs/2607.06609
2026-07-06,Internal,MV-Forcing: Long Multi-View Video Generation via 4D-Grounded Spatio-Temporal Self-Forcing,https://arxiv.org/abs/2607.05376
2026-06-25,Normative,Qwen-Image-2.0-RL Technical Report,https://arxiv.org/abs/2606.27608
2026-06-25,Normative,PhyEditBench: A Real-World Multi-Stage Benchmark for Physics-Aware Image Editing,https://arxiv.org/abs/2606.26551
2026-06-14,Internal,CogCanvas: A Benchmark for Evaluating Multi-Subject Reference-Based Image Generation,https://arxiv.org/abs/2606.15867
2026-06-09,Internal,HarmoView: Harmonizing Multi-View Constraints for Identity-Consistent Video Generation,https://arxiv.org/abs/2606.10839
2026-06-07,External,Beyond Consistency: Preserving Temporal Structure in Zero-Shot Video Editing,https://arxiv.org/abs/2606.08780
2026-05-31,Normative,SafeGen-Bench: Benchmarking Safety in Image-Conditioned Text-to-Video Generation,https://arxiv.org/abs/2606.01481
2026-05-27,Normative,Orthogonal Concept Erasure for Diffusion Models,https://arxiv.org/abs/2605.28902
2026-05-27,External,Compositional Text-to-Image Generation Via Region-aware Bimodal Direct Preference Optimization,https://arxiv.org/abs/2605.28615
2026-05-26,Internal,ReCA: Multi-Shot Long Video Extrapolation via Recursive Context Allocation,https://arxiv.org/abs/2605.26525
2026-05-19,Internal,MSAVBench: Towards Comprehensive and Reliable Evaluation of Multi-Shot Audio-Video Generation,https://arxiv.org/abs/2605.20183
2026-05-19,Internal,Structural Energy Guidance for View-Consistent Text-to-3D Generation,https://arxiv.org/abs/2605.19876
2026-05-19,External,TextAlign: Preference Alignment for Text Rendering with Hierarchical Rewards,https://arxiv.org/abs/2605.19320
2026-05-14,Internal,EntityBench: Towards Entity-Consistent Long-Range Multi-Shot Video Generation,https://arxiv.org/abs/2605.15199
2026-05-12,Internal,CausalCine: Real-Time Autoregressive Generation for Multi-Shot Video Narratives,https://arxiv.org/abs/2605.12496
2026-05-11,Normative,PhyGround: Benchmarking Physical Reasoning in Generative World Models,https://arxiv.org/abs/2605.10806
2026-05-08,Normative,Diffusion-APO: Trajectory-Aware Direct Preference Alignment for Video Diffusion Transformers,https://arxiv.org/abs/2605.07503
2026-05-03,Normative,TrajShield: Trajectory-Level Safety Mediation for Defending Text-to-Video Models Against Jailbreak Attacks,https://arxiv.org/abs/2605.01761
2026-04-22,Normative,Who Defines Fairness? Target-Based Prompting for Demographic Representation in Generative Models,https://arxiv.org/abs/2604.21036
2026-04-06,Normative,Erasure or Erosion? Evaluating Compositional Degradation in Unlearned Text-To-Image Diffusion Models,https://arxiv.org/abs/2604.04575
2026-04-03,Normative,MMPhysVideo: Scaling Physical Plausibility in Video Generation via Joint Multimodal Modeling,https://arxiv.org/abs/2604.02817
2026-03-30,External,MMFace-DiT: A Dual-Stream Diffusion Transformer for High-Fidelity Multimodal Face Generation,https://arxiv.org/abs/2603.29029
2026-03-23,External,SpatialReward: Verifiable Spatial Reward Modeling for Fine-Grained Spatial Consistency in Text-to-Image Generation,https://arxiv.org/abs/2603.22228
2026-03-20,Normative,Physion-Eval: Evaluating Physical Realism in Generated Video via Human Reasoning,https://arxiv.org/abs/2603.19607
2026-03-19,Normative,PhysVideo: Physically Plausible Video Generation with Cross-View Geometry Guidance,https://arxiv.org/abs/2603.18639
2026-03-12,Normative,Enhancing Image Aesthetics with Dual-Conditioned Diffusion Models Guided by Multimodal Perception,https://arxiv.org/abs/2603.11556
2026-03-10,Internal,ID-LoRA: Identity-Driven Audio-Video Personalization with In-Context LoRA,https://arxiv.org/abs/2603.10256
2026-03-07,External,TIQA: Human-Aligned Text Quality Assessment in Generated Images,https://arxiv.org/abs/2603.07119
2026-03-06,External,StruVis: Enhancing Reasoning-based Text-to-Image Generation via Thinking with Structured Vision,https://arxiv.org/abs/2603.06032
2026-02-24,External,TextPecker: Rewarding Structural Anomaly Quantification for Enhancing Visual Text Rendering,https://arxiv.org/abs/2602.20903
2026-02-15,Internal,Inject Where It Matters: Training-Free Spatially-Adaptive Identity Preservation for Text-to-Image Personalization,https://arxiv.org/abs/2602.13994
2026-02-14,Internal,DCDM: Divide-and-Conquer Diffusion Models for Consistency-Preserving Video Generation,https://arxiv.org/abs/2602.13637
2026-02-10,Internal,ConsID-Gen: View-Consistent and Identity-Preserving Image-to-Video Generation,https://arxiv.org/abs/2602.10113
2026-02-05,Normative,DeDPO: Debiased Direct Preference Optimization for Diffusion Models,https://arxiv.org/abs/2602.06195
2026-02-02,External,MLV-Edit: Towards Consistent and Highly Efficient Editing for Minute-Level Videos,https://arxiv.org/abs/2602.02123
2026-01-25,Internal,MV-S2V: Multi-View Subject-Consistent Video Generation,https://arxiv.org/abs/2601.17756
2026-01-21,External,Iterative Refinement Improves Compositional Image Generation,https://arxiv.org/abs/2601.15286
2026-01-09,External,Towards Generalized Multi-Image Editing for Unified Multimodal Models,https://arxiv.org/abs/2601.05572
2026-01-02,External,FreeText: Training-Free Text Rendering in Diffusion Transformers via Attention Localization and Spectral Glyph Injection,https://arxiv.org/abs/2601.00535
2025-12-22,Internal,StoryMem: Multi-shot Long Video Storytelling with Memory,https://arxiv.org/abs/2512.19539
2025-12-15,External,Beyond the Visible: Disocclusion-Aware Editing via Proxy Dynamic Graphs,https://arxiv.org/abs/2512.13392
2025-10-31,Normative,Rethinking Robust Adversarial Concept Erasure in Diffusion Models,https://arxiv.org/abs/2510.27285
2025-10-23,Internal,HoloCine: Holistic Generation of Cinematic Multi-Shot Long Video Narratives,https://arxiv.org/abs/2510.20822
2025-10-19,Normative,Uniworld-V2: Reinforce Image Editing with Diffusion Negative-aware Finetuning and MLLM Implicit Feedback,https://arxiv.org/abs/2510.16888
2025-10-14,Normative,SRUM: Fine-Grained Self-Rewarding for Unified Multimodal Models,https://arxiv.org/abs/2510.12784
2025-10-02,Internal,Self-Forcing++: Towards Minute-Scale High-Quality Video Generation,https://arxiv.org/abs/2510.02283
2025-09-26,Normative,VideoScore2: Think before You Score in Generative Video Evaluation,https://arxiv.org/abs/2509.22799
2025-09-26,Internal,LongLive: Real-time Interactive Long Video Generation,https://arxiv.org/abs/2509.22622
2025-09-25,Normative,DyME: Dynamic Multi-Concept Erasure in Diffusion Models with Bi-Level Orthogonal LoRA Adaptation,https://arxiv.org/abs/2509.21433
2025-09-19,Normative,DiffusionNFT: Online Diffusion Reinforcement with Forward Process,https://arxiv.org/abs/2509.16117
2025-08-24,External,T2I-ReasonBench: Benchmarking Reasoning-Informed Text-to-Image Generation,https://arxiv.org/abs/2508.17472
2025-08-04,External,Qwen-Image Technical Report,https://arxiv.org/abs/2508.02324
2025-06-23,External,OmniGen2: Towards Instruction-Aligned Multimodal Generation,https://arxiv.org/abs/2506.18871
2025-06-17,External,FLUX.1 Kontext: Flow Matching for In-Context Image Generation and Editing in Latent Space,https://arxiv.org/abs/2506.15742
2025-06-11,Internal,Consistent Story Generation with Asymmetry Zigzag Sampling,https://arxiv.org/abs/2506.09612
2025-06-09,Internal,Self Forcing: Bridging the Train-Test Gap in Autoregressive Video Diffusion,https://arxiv.org/abs/2506.08009
2025-06-09,External,OneIG-Bench: Omni-dimensional Nuanced Evaluation for Image Generation,https://arxiv.org/abs/2506.07977
2025-06-03,External,UniWorld: High-Resolution Semantic Encoders for Unified Visual Understanding and Generation,https://arxiv.org/abs/2506.03147
2025-06-02,External,TIIF-Bench: How Does Your T2I Model Follow Your Instructions?,https://arxiv.org/abs/2506.02161
2025-05-22,External,KRIS-Bench: Benchmarking Next-Level Intelligent Image Editing Models,https://arxiv.org/abs/2505.16707
2025-05-20,External,Emerging Properties in Unified Multimodal Pretraining,https://arxiv.org/abs/2505.14683
2025-05-12,Normative,DanceGRPO: Unleashing GRPO on Visual Generation,https://arxiv.org/abs/2505.07818
2025-04-29,External,In-Context Edit: Enabling Instructional Image Editing with In-Context Generation in Large Scale Diffusion Transformer,https://arxiv.org/abs/2504.20690
2025-04-24,External,Step1X-Edit: A Practical Framework for General Image Editing,https://arxiv.org/abs/2504.17761
2025-04-23,Internal,DreamO: A Unified Framework for Image Customization,https://arxiv.org/abs/2504.16915
2025-04-16,Internal,WORLDMEM: Long-term Consistent World Simulation with Memory,https://arxiv.org/abs/2504.12369
2025-04-03,External,Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,https://arxiv.org/abs/2504.02826
2025-04-02,Internal,Less-to-More Generalization: Unlocking More Controllability by In-Context Generation,https://arxiv.org/abs/2504.02160
2025-03-27,Normative,VBench-2.0: Advancing Video Generation Benchmark Suite for Intrinsic Faithfulness,https://arxiv.org/abs/2503.21755
